Year,Region,State,City,Product,Unit_Price,Units,Sales,Profit,Margin,Sales_Method
2021,South,Alabama,Birmingh,Men's Street Footwear,27.45567355,450.0,129235.4175,63000,35,Outlet
2021,South,Alabama,Birmingh,Men's Athletic Footwear,12.74288523,250.0,117135.4008,35000,35,Outlet
2021,South,Alabama,Birmingh,Women's Street Footwear,18.0596478,250.0,98520.82167,30000,40,Outlet
2021,South,Alabama,Birmingh,Women's Athletic Footwear,11.59852194,100.0,154932.8777,10500,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,13.7323804,150.0,146175.5607,18750,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,19.29225307,250.0,217042.235,40000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,22.17812035,500.0,182068.0428,70000,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,27.03556613,150.0,172086.8593,21000,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,19.64715669,200.0,133150.5734,24000,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,23.30315365,75.0,195599.3561,7875,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,19.23715813,150.0,156783.9511,18750,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,23.08450049,250.0,139243.9837,40000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,22.65893283,470.0,130305.8658,65800,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,20.23111458,175.0,205892.9711,24500,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,20.24637432,200.0,142661.9479,24000,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,13.59654886,50.0,88107.38804,5250,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,15.71730219,100.0,162752.9409,12500,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,13.80043779,200.0,149396.785,32000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,12.733538,450.0,121368.3525,63000,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,19.17951837,150.0,193644.0976,21000,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,24.02312636,150.0,156795.5256,18000,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,13.83593194,75.0,118155.8199,7875,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,17.0336763,75.0,124271.9486,9375,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,27.80273401,225.0,144603.9488,36000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,13.08035306,495.0,120472.9296,95288,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic,24.83746195,200.0,77977.42972,35000,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,22.92838731,175.0,172774.6238,31500,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,20.33604038,125.0,242678.4496,16875,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,26.41352048,150.0,123897.653,20625,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,10.19416156,275.0,139494.0159,66000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,27.53283515,525.0,220740.0662,101063,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,20.53684146,275.0,130273.8313,48125,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,23.86120488,200.0,125930.9328,36000,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,25.21245118,175.0,95629.76498,23625,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,13.57010453,175.0,73105.14585,24063,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,14.14754581,325.0,2667.531033,78000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,14.6038307,550.0,227449.2998,105875,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,20.10972965,300.0,102984.904,52500,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,12.23331276,225.0,150010.6331,40500,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,29.16615682,175.0,145701.4704,23625,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,24.03293352,200.0,209162.3828,27500,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,14.26520862,375.0,197726.3915,90000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,26.48798376,525.0,227484.3477,101063,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,27.20576428,300.0,112956.4907,52500,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,16.6300716,225.0,164303.8794,40500,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,23.26940944,175.0,109632.659,23625,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,21.78981279,150.0,198926.2302,20625,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,12.03002527,325.0,206240.1918,78000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,27.55487194,450.0,148311.2437,86625,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,20.3589005,250.0,194025.0322,43750,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,16.61882091,150.0,112819.6727,27000,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic,13.12284705,125.0,136076.6403,16875,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,18.09967854,125.0,172372.3034,17188,25,Outlet
2021,Northeast,Maine,Portland,Women's Apparel,12.33899581,225.0,159268.516,54000,40,Outlet
2021,Northeast,Maine,Portland,Men's Street Footwear,19.62584968,400.0,79132.68755,84000,35,Outlet
2021,Northeast,Maine,Portland,Men's Athletic Footwear,23.52268987,225.0,127920.2721,43313,35,Outlet
2021,Northeast,Maine,Portland,Women's Street Footwear,20.6670473,125.0,143125.609,27500,40,Outlet
2021,Northeast,Maine,Portland,Women's Athletic Footwear,21.51403505,100.0,183823.8134,16500,30,Outlet
2021,Northeast,Maine,Portland,Men's Apparel,12.11219422,100.0,128368.798,16250,25,Outlet
